Th	 d'	 nP
0	 0.923036	 0.735472
1	 1.061850	 1.012809
2	 1.185552	 1.234889
3	 1.235271	 1.318230
4	 1.264338	 1.366298
5	 1.287666	 1.404956
6	 1.313044	 1.447164
7	 1.333600	 1.481514
8	 1.356133	 1.519405
9	 1.378977	 1.557974
10	 1.405236	 1.602353
11	 1.430897	 1.645644
12	 1.456936	 1.689487
13	 1.479947	 1.728212
14	 1.505715	 1.771557
15	 1.528408	 1.809706
16	 1.552080	 1.849536
17	 1.576449	 1.890511
18	 1.597769	 1.926397
19	 1.619159	 1.962520
20	 1.636275	 1.991614
21	 1.655059	 2.023824
22	 1.672868	 2.054613
23	 1.692567	 2.088924
24	 1.712315	 2.123521
25	 1.729066	 2.153117
26	 1.744793	 2.181234
27	 1.762205	 2.212721
28	 1.779345	 2.244040
29	 1.795599	 2.274080
30	 1.811805	 2.304406
31	 1.828862	 2.336704
32	 1.841681	 2.361345
33	 1.858656	 2.394480
34	 1.873185	 2.423237
35	 1.887116	 2.451281
36	 1.904066	 2.485915
37	 1.919007	 2.516874
38	 1.932443	 2.545210
39	 1.946138	 2.574652
40	 1.961016	 2.607214
41	 1.975914	 2.640375
42	 1.990222	 2.672788
43	 2.005592	 2.708212
44	 2.021318	 2.745035
45	 2.040068	 2.789474
46	 2.056578	 2.829047
47	 2.072570	 2.867943
48	 2.089920	 2.910725
49	 2.105996	 2.950913
50	 2.119902	 2.986310
51	 2.134889	 3.025208
52	 2.149573	 3.064039
53	 2.161063	 3.095140
54	 2.175564	 3.135338
55	 2.187219	 3.168421
56	 2.203595	 3.215905
57	 2.218196	 3.258980
58	 2.230437	 3.295943
59	 2.242094	 3.332130
60	 2.255923	 3.376174
61	 2.268336	 3.416685
62	 2.278818	 3.451939
63	 2.293782	 3.503582
64	 2.304280	 3.540764
65	 2.315036	 3.580153
66	 2.328104	 3.629413
67	 2.343946	 3.690276
68	 2.355074	 3.734011
69	 2.367068	 3.782609
70	 2.381154	 3.841076
71	 2.422478	 4.006954
72	 2.472359	 4.190039
73	 2.490319	 4.253383
74	 2.509738	 4.322581
75	 2.527005	 4.384825
76	 2.543375	 4.444796
77	 2.596553	 4.633001
78	 2.615306	 4.697022
79	 2.636739	 4.770912
80	 2.656311	 4.838986
81	 2.674330	 4.902519
82	 2.697131	 4.983681
83	 2.715451	 5.049496
84	 2.740886	 5.141439
85	 2.758873	 5.206897
86	 2.776664	 5.272770
87	 2.802648	 5.369632
88	 2.821726	 5.441119
89	 2.840953	 5.514229
90	 2.862392	 5.596702
91	 2.880334	 5.666667
92	 2.901303	 5.749616
93	 2.917769	 5.815835
94	 2.933285	 5.879778
95	 2.951652	 5.957133
96	 2.968618	 6.030002
97	 2.985271	 6.103139
98	 3.003379	 6.184325
99	 3.023382	 6.275400
100	 3.038788	 6.346939
101	 3.056779	 6.432432
102	 3.076378	 6.527086
103	 3.092226	 6.605147
104	 3.105575	 6.672932
105	 3.119876	 6.747995
106	 3.137848	 6.844691
107	 3.154455	 6.935872
108	 3.169578	 7.021065
109	 3.183416	 7.101473
110	 3.198519	 7.191974
111	 3.212375	 7.277592
112	 3.226344	 7.366786
113	 3.241862	 7.468777
114	 3.255101	 7.558461
115	 3.267315	 7.644401
116	 3.282842	 7.757187
117	 3.296760	 7.861043
118	 3.308401	 7.951175
119	 3.324061	 8.076324
120	 3.339584	 8.202882
121	 3.353308	 8.317647
122	 3.365874	 8.426327
123	 3.379874	 8.551375
124	 3.397420	 8.710642
125	 3.410724	 8.833623
126	 3.426711	 8.984871
127	 3.437944	 9.094316
128	 3.450261	 9.219355
129	 3.459780	 9.320563
130	 3.472024	 9.456826
131	 3.483401	 9.588235
132	 3.493348	 9.708491
133	 3.503252	 9.834473
134	 3.515544	 9.996945
135	 3.525221	 10.129848
136	 3.533252	 10.246805
137	 3.542684	 10.392405
138	 3.555274	 10.592506
139	 3.565422	 10.757720
140	 3.572371	 10.877624
141	 3.582921	 11.069491
142	 3.592464	 11.248685
143	 3.603226	 11.456747
144	 3.610480	 11.603437
145	 3.619014	 11.786568
146	 3.625207	 11.928501
147	 3.631929	 12.095238
148	 3.637453	 12.244147
149	 3.645292	 12.469388
150	 3.650928	 12.641061
151	 3.657998	 12.870403
152	 3.663423	 13.057508
153	 3.669290	 13.275415
154	 3.673804	 13.457831
155	 3.680027	 13.726664
156	 3.686495	 14.011372
157	 3.691518	 14.242494
158	 3.699082	 14.596692
159	 3.704495	 14.852682
160	 3.710049	 15.130346
161	 3.715242	 15.404308
162	 3.721633	 15.751269
163	 3.727249	 16.061611
164	 3.733796	 16.429577
165	 3.740515	 16.805755
166	 3.745893	 17.115279
167	 3.750519	 17.401487
168	 3.755491	 17.732261
169	 3.758647	 17.965517
170	 3.761874	 18.241983
171	 3.765805	 18.613670
172	 3.769559	 18.989904
173	 3.772541	 19.318112
174	 3.775768	 19.711297
175	 3.778178	 20.041445
176	 3.780619	 20.428571
177	 3.782944	 20.842250
178	 3.784866	 21.234700
179	 3.786606	 21.654462
180	 3.788265	 22.117338
181	 3.789200	 22.459716
182	 3.790313	 23.000000
183	 3.791553	 23.596273
184	 3.792549	 24.110970
185	 3.793749	 24.764476
186	 3.794650	 25.294821
187	 3.795978	 26.067669
188	 3.797256	 26.731092
189	 3.798262	 27.326180
190	 3.799658	 28.160530
191	 3.801027	 28.909366
192	 3.802319	 29.650155
193	 3.803719	 30.478537
194	 3.805092	 31.300163
195	 3.805863	 31.890365
196	 3.806795	 32.817250
197	 3.807662	 33.706398
198	 3.808438	 34.611511
199	 3.809093	 35.531365
200	 3.809397	 36.288136
201	 3.809743	 37.521401
202	 3.810069	 38.560440
203	 3.810318	 39.698869
204	 3.810394	 40.728135
205	 3.810173	 41.580645
206	 3.809560	 42.516484
207	 3.808431	 43.847112
208	 3.807155	 45.478873
209	 3.806239	 46.539016
210	 3.804731	 47.949320
211	 3.802957	 49.510204
212	 3.800876	 51.380952
213	 3.798779	 53.470426
214	 3.796847	 55.652361
215	 3.795558	 56.979502
216	 3.792915	 59.550459
217	 3.790265	 62.870968
218	 3.788617	 65.442953
219	 3.787289	 67.275862
220	 3.785296	 69.588235
221	 3.782427	 72.880597
222	 3.780474	 75.007678
223	 3.776498	 79.324544
224	 3.772750	 84.161290
225	 3.769926	 88.189189
226	 3.766550	 93.285714
227	 3.763265	 98.748111
228	 3.760018	 104.600000
229	 3.756324	 112.142857
230	 3.753428	 118.637462
231	 3.749149	 130.125828
232	 3.745874	 143.525547
233	 3.744042	 165.386555
234	 3.744576	 182.333333
235	 3.745087	 195.039604
236	 3.746312	 219.000000
237	 3.748040	 241.944785
238	 3.749128	 259.526316
239	 3.751529	 299.000000
240	 3.757616	 362.302752
241	 3.761466	 399.000000
242	 3.767084	 459.465116
243	 3.775292	 549.000000
244	 3.779328	 599.000000
245	 3.790902	 760.538462
246	 3.805658	 964.853659
247	 3.808715	 1014.384615
248	 3.812452	 1099.000000
249	 3.823000	 1413.285714
250	 3.825725	 1522.076923
251	 3.831346	 1884.714286
252	 3.834028	 2199.000000
253	 3.837453	 3299.000000
254	 3.843135	 9899.000000
255	 0.600579	 39600.000000
